% Model:              weld_defect_v2.mph
% Version:            COMSOL 6.4.0.429
% Date:               Sep 23 2026, 13:36
% Table:              Table 4 - Point Evaluation 1
% C_m (s/m)              Time (s)                 Velocity, Z-component (m/s), Point: (0, 0)
1.0E-6                   4.610000000000001E-8     -0.1377790205341588
1.0E-6                   4.620000000000001E-8     -0.05484140129268797
1.0E-6                   4.630000000000001E-8     0.05222364005371503
1.0E-6                   4.6400000000000005E-8    0.14892615332152023
1.0E-6                   4.6500000000000006E-8    0.2154405774081074
1.0E-6                   4.660000000000001E-8     0.2525538279460406
1.0E-6                   4.670000000000001E-8     0.26152483893777334
1.0E-6                   4.680000000000001E-8     0.22811052139279303
1.0E-6                   4.690000000000001E-8     0.1372554941866508
1.0E-6                   4.700000000000001E-8     0.0046478018996316895
1.0E-6                   4.7100000000000005E-8    -0.11523889077400096
1.0E-6                   4.7200000000000006E-8    -0.1630089782133415
1.0E-6                   4.7300000000000007E-8    -0.12153346883237102
1.0E-6                   4.740000000000001E-8     -0.029972261426519757
1.0E-6                   4.750000000000001E-8     0.0498455009385277
1.0E-6                   4.760000000000001E-8     0.08219848233632565
1.0E-6                   4.770000000000001E-8     0.07621287565756678
1.0E-6                   4.780000000000001E-8     0.06161970430003179
1.0E-6                   4.7900000000000005E-8    0.05126022300036488
1.0E-6                   4.8000000000000006E-8    0.03076134971944439
1.0E-6                   4.810000000000001E-8     -0.01551068474268109
1.0E-6                   4.820000000000001E-8     -0.07418448415879948
1.0E-6                   4.830000000000001E-8     -0.1062019322692365
1.0E-6                   4.840000000000001E-8     -0.08319317718474656
1.0E-6                   4.850000000000001E-8     -0.016621116649380933
1.0E-6                   4.8600000000000005E-8    0.0531400631986509
1.0E-6                   4.8700000000000006E-8    0.09399696240359229
1.0E-6                   4.880000000000001E-8     0.10380887023244535
1.0E-6                   4.890000000000001E-8     0.09816687900782427
1.0E-6                   4.900000000000001E-8     0.0865064094125004
1.0E-6                   4.910000000000001E-8     0.0651849396128213
1.0E-6                   4.920000000000001E-8     0.028451052477526283
1.0E-6                   4.930000000000001E-8     -0.021248664316540083
1.0E-6                   4.9400000000000006E-8    -0.0731019313162894
1.0E-6                   4.9500000000000006E-8    -0.11238702112319525
1.0E-6                   4.960000000000001E-8     -0.12516001158102383
1.0E-6                   4.970000000000001E-8     -0.10568187028036034
1.0E-6                   4.980000000000001E-8     -0.0643070284800622
1.0E-6                   4.990000000000001E-8     -0.024976191686418067
1.0E-6                   5.000000000000001E-8     -0.008106835817747357
1.0E-6                   5.0100000000000005E-8    -0.012631236669125507
1.0E-6                   5.0200000000000006E-8    -0.01615522455364801
1.0E-6                   5.030000000000001E-8     0.00467282652609451
1.0E-6                   5.040000000000001E-8     0.05177729792423546
1.0E-6                   5.050000000000001E-8     0.10142517926072812
1.0E-6                   5.060000000000001E-8     0.12217165565537229
1.0E-6                   5.070000000000001E-8     0.10104376753391417
1.0E-6                   5.080000000000001E-8     0.057222099999566844
1.0E-6                   5.0900000000000006E-8    0.030148264517030423
1.0E-6                   5.100000000000001E-8     0.04798888850439851
1.0E-6                   5.110000000000001E-8     0.10131139539122264
1.0E-6                   5.120000000000001E-8     0.1472759184039973
1.0E-6                   5.130000000000001E-8     0.14423761378694505
1.0E-6                   5.140000000000001E-8     0.08617447715334553
1.0E-6                   5.150000000000001E-8     0.004346975854187804
1.0E-6                   5.1600000000000005E-8    -0.063471135481548
1.0E-6                   5.1700000000000006E-8    -0.10247342613311042
1.0E-6                   5.180000000000001E-8     -0.1196096656487606
1.0E-6                   5.190000000000001E-8     -0.11949224882453188
1.0E-6                   5.200000000000001E-8     -0.09127370567766753
1.0E-6                   5.210000000000001E-8     -0.024348098884559733
1.0E-6                   5.220000000000001E-8     0.06726283246180095
1.0E-6                   5.230000000000001E-8     0.14495934038124447
1.0E-6                   5.2400000000000006E-8    0.17460548213170315
1.0E-6                   5.250000000000001E-8     0.15371508936125192
1.0E-6                   5.260000000000001E-8     0.10731197844060816
1.0E-6                   5.270000000000001E-8     0.05961506822952825
1.0E-6                   5.280000000000001E-8     0.0155679920179312
1.0E-6                   5.290000000000001E-8     -0.028968556373598027
1.0E-6                   5.300000000000001E-8     -0.06649013077000737
1.0E-6                   5.3100000000000006E-8    -0.07692303393003237
1.0E-6                   5.3200000000000007E-8    -0.05003257838190795
1.0E-6                   5.330000000000001E-8     -0.0033333446653170786
1.0E-6                   5.340000000000001E-8     0.029024350769466672
1.0E-6                   5.350000000000001E-8     0.026837122223620596
1.0E-6                   5.360000000000001E-8     6.979744228760464E-4
1.0E-6                   5.370000000000001E-8     -0.022805068229207248
1.0E-6                   5.380000000000001E-8     -0.029270200289203005
1.0E-6                   5.3900000000000006E-8    -0.025701216651485496
1.0E-6                   5.400000000000001E-8     -0.023052547323851945
1.0E-6                   5.410000000000001E-8     -0.01729291474551181
1.0E-6                   5.420000000000001E-8     0.005488195094221685
1.0E-6                   5.430000000000001E-8     0.04681668857859341
1.0E-6                   5.440000000000001E-8     0.08668675530587491
1.0E-6                   5.450000000000001E-8     0.10161083728314185
1.0E-6                   5.4600000000000006E-8    0.08895094856684768
1.0E-6                   5.470000000000001E-8     0.0681644487109012
1.0E-6                   5.480000000000001E-8     0.058157106026148646
1.0E-6                   5.490000000000001E-8     0.058212773257095146
1.0E-6                   5.500000000000001E-8     0.05303126157279186
1.0E-6                   5.510000000000001E-8     0.03217919040644188
1.0E-6                   5.520000000000001E-8     1.868834844057907E-4
1.0E-6                   5.530000000000001E-8     -0.030302633504632994
1.0E-6                   5.5400000000000006E-8    -0.04905534280323699
1.0E-6                   5.550000000000001E-8     -0.0502504676964244
1.0E-6                   5.560000000000001E-8     -0.030081667107661855
1.0E-6                   5.570000000000001E-8     0.010253504929038672
1.0E-6                   5.580000000000001E-8     0.058306690995659195
1.0E-6                   5.590000000000001E-8     0.09280933506347402
1.0E-6                   5.600000000000001E-8     0.09799194506817789
